s,w,prezzo,metri.quadrati,numero.bagni,ascensore,numero.stanze,altre.caratteristiche,numero.totale.piani.edificio,parcheggio,disponibile,spese.condominiali,anno.di. Costruzione,condizioni,zona,piano,riscaldamento.centralizzato,classe.di.efficienza.energetica
0,1,465000,86,1,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso | window frames in triple glass / pvc | doppia esposizione,8,1 in garage/box,disponibile,250,NA,eccellente / restaurato,pezzotti - meda,8,centralizzato,NA
0,1,230000,40,1,sì,2,porta di sicurezza |infissi esterni in doppio vetro / metallo | doppia esposizione,3,no,disponibile,70,2023,nuovo / in costruzione,dergano,2,indipendente,a
0,1,495000,110,1,sì,4,"cucina | terrazza | cantina | infissi in vetro/ legno | esposizione nord, sud",5,no,disponibile,250,1960,buone condizioni /vivibile,ghisolfa - mac mahon,1,centralizzato,NA
0,1,255000,117,2,sì,4,fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | sistema televisivo centralizzato | parzialmente arredato| giardino condiviso |infissi esterni in doppio vetro / pvc,8,no,disponibile,nessun costo condominiale,1960,nuovo / in costruzione,crescenzago,piano terra,indipendente,g
0,1,540000,400,1,sì,3,idromassaggio| cancello elettrico | caminetto | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | guardaroba |portinaio tutto il giorno | sistema televisivo centralizzato | arredato,8,no,disponibile,290,1978,buone condizioni /vivibile,villa san giovanni,7,centralizzato,e
0,1,730000,127,2,no,3,fibra ottica | sistema d'allarme | porta di sicurezza | esposizione interna | guardaroba | terrazza | terrazza | sistema televisivo centralizzato |arredato|infissi esterni in doppio vetro / pvc,2,no,disponibile,174,1970,eccellente / restaurato,barona,2,indipendente,d
0,1,380000,53,1,sì,2,cancello elettrico | porta di sicurezza | esposizione interna | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | parzialmente arredato| cantina |infissi esterni in doppio vetro / pvc,6,no,disponibile,135,1960,eccellente / restaurato,dezza,3,centralizzato,d
0,1,178000,70,1,sì,2,terrazza | cantina | giardino condiviso,6,1 in parcheggio condiviso,NA,200,1965,buone condizioni /vivibile,quartiere olmi,3,centralizzato,g
0,1,324000,59,1,sì,2,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | guardaroba |portinaio tutto il giorno | sistema televisivo centralizzato | giardino condiviso |infissi esterni in doppio vetro / metallo,7,1 in garage/box,disponibile,200,1970,eccellente / restaurato,famagosta,4,centralizzato,e
0,1,1110000,130,2,sì,4,porta di sicurezza | terrazza | cantina,6,no,disponibile,nessun costo condominiale,NA,nuovo / in costruzione,pagano,2,centralizzato,g
0,1,335000,75,1,sì,3,porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato|infissi esterni in doppio vetro / pvc | doppia esposizione,8,no,disponibile,217,1970,eccellente / restaurato,tre castelli - faenza,1,centralizzato,g
0,1,208000,65,1,no,2,terrazza | giardino condiviso,4,no,disponibile,150,NA,buone condizioni /vivibile,crescenzago,2,centralizzato,g
0,1,525000,133,2,no,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | sistema televisivo centralizzato | parzialmente arredato| giardino condiviso |infissi esterni in doppio vetro / metallo | doppia esposizione,3,1 in garage/box,NA,42,NA,eccellente / restaurato,viale ungheria - mecenate,piano terra,indipendente,b
0,1,355000,68,1,no,2,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione interna | guardaroba | terrazza | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc,1 piano,no,disponibile,10,2024,eccellente / restaurato,cascina dei pomi,1,indipendente,a
0,1,159000,68,1,no,2,esposizione esterna | terrazza | impianto televisivo unico,4,no,disponibile,150,NA,buone condizioni /vivibile,san siro,soppalco,centralizzato,g
0,1,1250000,130,2,sì,4,fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | infissi in vetro/ legno,5,no,disponibile,600,1945,da restaurare,san vittore,1,centralizzato,e
0,1,210000,87,1,sì,3,cancello elettrico | porta di sicurezza | esposizione interna | terrazza |portinaio tutto il giorno | impianto televisivo unico | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,6,no,NA,167,1970,buone condizioni /vivibile,baggio,soppalco,centralizzato,d
0,1,350000,40,1,sì,2,taverna | fibra ottica | porta di sicurezza | esposizione interna | guardaroba | sistema televisivo centralizzato | cantina |giardino privato | infissi in vetro/ pvc,3,no,disponibile,167,1920,da restaurare,isola,piano terra,indipendente,g
0,1,340000,90,1,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,8,no,disponibile,167,1985,eccellente / restaurato,tre castelli - faenza,7,indipendente,NA
0,1,730400,158,2,sì,4,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,6,no,disponibile,nessun costo condominiale,2026,nuovo / in costruzione,cantalupa - san paolo,5,centralizzato,a
0,1,345000,112,2,sì,4,fibra ottica | videocitofono | sistema d'allarme | terrazza |arredato| cantina |infissi esterni in doppio vetro / legno,6,no,disponibile,NA,1950,buone condizioni /vivibile,corvetto,4,centralizzato,NA
0,1,199000,75,1,sì,2,cancello elettrico | fibra ottica | videocitofono | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina,7,no,disponibile,208,1963,buone condizioni /vivibile,gallaratese,1,centralizzato,e
0,1,250000,51,1,no,2,"cucina |arredato| cantina | giardino condiviso | esposizione nord, sud",3,no,disponibile,70,NA,eccellente / restaurato,bruzzano,1,indipendente,d
0,1,816000,110,2,sì,4,porta di sicurezza | terrazza | cantina,8,no,disponibile,nessun costo condominiale,NA,nuovo / in costruzione,indipendenza,1,centralizzato,g
0,1,220000,75,1,sì,2,videocitofono | terrazza |portinaio tutto il giorno | cantina,6,no,NA,208,NA,buone condizioni /vivibile,bisceglie,4,centralizzato,g
0,1,365000,117,2,sì,3,terrazza | impianto televisivo unico | cantina |giardino privato,2,1 in garage/box,disponibile,nessun costo condominiale,NA,nuovo / in costruzione,quinto romano,piano terra,indipendente,a
0,1,1700000,185,3,sì,4,fibra ottica | videocitofono | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | arredato solo cucina| cantina |infissi esterni in doppio vetro / pvc,7,"1 in garage/box, 1 in parcheggio condiviso",NA,600,1970,eccellente / restaurato,amendola - buonarroti,3,centralizzato,g
0,1,450000,100,1,sì,3,cancello elettrico | attico | fibra ottica | videocitofono | porta di sicurezza | guardaroba | terrazza | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso | infissi in vetro/ legno | doppia esposizione,3,1 in garage/box,disponibile,300,1970,buone condizioni /vivibile,qt8,1,centralizzato,f
0,1,1180000,180,3,sì,5,videocitofono | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / metallo,6,no,disponibile,642,1960,eccellente / restaurato,citt√† studi,4,centralizzato,f
0,1,240000,114,2,no,3,porta di sicurezza | terrazza | impianto televisivo unico | cantina |giardino privato |infissi esterni in doppio vetro / pvc | doppia esposizione,1 piano,"1 in garage/box, 1 in parcheggio condiviso",NA,nessun costo condominiale,1930,buone condizioni /vivibile,baggio,1,indipendente,g
0,1,640000,100,2,sì,3,caminetto | fibra ottica | porta di sicurezza | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | infissi in vetro/ legno | doppia esposizione,5,no,NA,200,1920,da restaurare,porta venezia,5,centralizzato,f
0,1,470000,270,1,no,5,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | esposizione interna | sistema televisivo centralizzato |infissi esterni in doppio vetro / metallo,1 piano,no,disponibile,180,2004,eccellente / restaurato,dergano,piano terra,indipendente,d
0,1,790000,162,2,sì,4,idromassaggio| fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / metallo | doppia esposizione,8,no,disponibile,380,1962,eccellente / restaurato,pasteur,1,centralizzato,e
0,1,370000,94,2,sì,3,fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,7,no,disponibile,NA,2024,nuovo / in costruzione,viale ungheria - mecenate,2,centralizzato,a
0,1,379500,65,1,sì,2,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | terrazza |portinaio tutto il giorno | piscina | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / metallo,23,no,disponibile,NA,2027,nuovo / in costruzione,cascina merlata - musocco,5,centralizzato,NA
0,1,425900,61,1,sì,2,fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | guardaroba | sistema televisivo centralizzato |infissi esterni in doppio vetro / legno,5,no,NA,nessun costo condominiale,1920,eccellente / restaurato,porta romana - medaglie d'oro,2,indipendente,g
0,1,625000,90,1,sì,3,porta di sicurezza | terrazza |portinaio mezza giornata | sistema televisivo centralizzato |infissi esterni in doppio vetro / metallo | doppia esposizione,4,no,disponibile,267,1910,buone condizioni /vivibile,citt√† studi,4,centralizzato,g
0,1,259000,64,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | esposizione interna | guardaroba | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / metallo,2,no,disponibile,35,2009,eccellente / restaurato,dergano,soppalco,indipendente,e
0,1,359000,50,1,sì,2,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| cantina |infissi esterni in doppio vetro / pvc,8,no,disponibile,150,1960,nuovo / in costruzione,porta romana - medaglie d'oro,piano terra,centralizzato,d
0,1,399000,122,2,sì,3,campo da tennis | videocitofono | porta di sicurezza | terrazza | terrazza | parzialmente arredato| cantina |infissi esterni in doppio vetro / pvc | doppia esposizione,5,1 in garage/box,disponibile,180,2006,eccellente / restaurato,niguarda,4,indipendente,d
0,1,198000,55,1,sì,1,videocitofono | porta di sicurezza | esposizione esterna | sistema televisivo centralizzato |infissi esterni in doppio vetro / metallo,4,no,disponibile,133,1970,buone condizioni /vivibile,bovisa,2,centralizzato,f
0,1,620000,95,1,sì,3,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | guardaroba | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ legno | doppia esposizione,5,1 in garage/box,disponibile,140,1950,da restaurare,porta romana - medaglie d'oro,2,indipendente,g
0,1,249000,60,2,no,3,videocitofono | porta di sicurezza | sistema televisivo centralizzato | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,5,no,disponibile,78,1965,eccellente / restaurato,cimiano,seminterrato,centralizzato,g
0,1,415000,115,2,NA,4,cancello elettrico | videocitofono | porta di sicurezza | terrazza | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso | infissi in vetro/ legno | doppia esposizione,6,1 in garage/box,NA,133,2001,buone condizioni /vivibile,quartiere adriano,2,indipendente,d
0,1,830000,135,1,no,3,taverna | terrazza | sistema televisivo centralizzato | cantina | infissi in vetro/ legno | doppia esposizione,3,no,disponibile,300,1900,da restaurare,arco della pace,soppalco,indipendente,g
0,1,845000,140,3,sì,5,sistema d'allarme | cucina | parzialmente arredato| infissi in vetro/ metallo,3,no,disponibile,350,1930,eccellente / restaurato,corso genova,piano terra,centralizzato,g
0,1,470000,56,1,sì,2,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione interna | guardaroba | terrazza | sistema televisivo centralizzato |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / metallo,7,1 in garage/box,disponibile,101,NA,eccellente / restaurato,piave - tricolore,4,indipendente,b
0,1,395000,50,1,sì,2,sistema televisivo centralizzato | giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,4,no,disponibile,60,1930,eccellente / restaurato,porta venezia,1,indipendente,g
0,1,780000,130,1,sì,4,porta di sicurezza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,5,no,NA,375,1930,da restaurare,dezza,soppalco,centralizzato,f
0,1,269000,70,1,sì,2,videocitofono | porta di sicurezza | terrazza |portinaio tutto il giorno | doppia esposizione,7,no,NA,200,1960,eccellente / restaurato,piazzale siena,4,centralizzato,g
0,1,85000,28,1,no,1,fibra ottica | esposizione interna,4,no,disponibile,50,1930,buone condizioni /vivibile,parco trotter,4,indipendente,g
0,1,470000,90,2,sì,3,cancello elettrico | attico | fibra ottica | videocitofono | porta di sicurezza | esposizione interna | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc,6,no,disponibile,300,1970,eccellente / restaurato,pezzotti - meda,1,centralizzato,e
0,1,460000,80,2,no,2,attico | fibra ottica | porta di sicurezza | esposizione interna | guardaroba | terrazza | impianto televisivo unico | parzialmente arredato|infissi esterni in doppio vetro / legno,2,no,disponibile,66,1940,eccellente / restaurato,cadore,1,indipendente,f
0,1,1017000,140,2,sì,5,porta di sicurezza | terrazza |portinaio tutto il giorno | cantina,5,no,disponibile,nessun costo condominiale,NA,nuovo / in costruzione,repubblica,3,centralizzato,g
0,1,570000,159,2,sì,4,cancello elettrico | attico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | terrazza | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso | window frames in triple glass / pvc | doppia esposizione,3,1 in garage/box,disponibile,200,2024,nuovo / in costruzione,quinto romano,2,indipendente,a
0,1,249000,60,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | esposizione esterna | guardaroba | terrazza | sistema televisivo centralizzato | parzialmente arredato| cantina |infissi esterni in doppio vetro / pvc,5,no,disponibile,200,1960,eccellente / restaurato,molise - cuoco,4,centralizzato,f
0,1,169000,45,1,no,1,fibra ottica | porta di sicurezza | terrazza | parzialmente arredato| doppia esposizione,3,no,disponibile,nessun costo condominiale,1900,buone condizioni /vivibile,pasteur,3,centralizzato,f
0,1,645000,110,2,sì,3,fibra ottica | videocitofono | porta di sicurezza | terrazza | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / legno | doppia esposizione,4,no,disponibile,83,NA,buone condizioni /vivibile,navigli - darsena,1,indipendente,NA
0,1,980000,232,3+,sì,5,fibra ottica | guardaroba | terrazza | terrazza | sistema televisivo centralizzato | parzialmente arredato| cantina |infissi esterni in doppio vetro / metallo | doppia esposizione,5,"1 in garage/box, 1 in parcheggio condiviso",disponibile,200,1979,eccellente / restaurato,san siro,3,indipendente,c
0,1,95000,41,1,no,1,porta di sicurezza | giardino condiviso |infissi esterni in doppio vetro / pvc,3,no,disponibile,100,1960,eccellente / restaurato,roserio,soppalco,centralizzato,e
0,1,220000,60,1,sì,2,cancello elettrico | fibra ottica | porta di sicurezza | sistema televisivo centralizzato | parzialmente arredato| giardino condiviso | infissi in vetro/ metallo | doppia esposizione,4,no,disponibile,25,1960,eccellente / restaurato,cermenate - abbiategrasso,seminterrato,indipendente,NA
0,1,270000,77,1,sì,2,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | terrazza | sistema televisivo centralizzato | cantina |giardino privato | window frames in triple glass / pvc | doppia esposizione,3,1 in garage/box,disponibile,150,2024,nuovo / in costruzione,quinto romano,piano terra,indipendente,a
0,1,299000,91,1,no,2,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione interna | terrazza | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / metallo,2,no,disponibile,93,1950,buone condizioni /vivibile,san siro,1,indipendente,g
0,1,890000,172,2,sì,5,fibra ottica | videocitofono | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | cantina | infissi in vetro/ legno | doppia esposizione,6,no,disponibile,500,1961,da restaurare,centrale,5,centralizzato,g
0,1,255000,60,1,sì,2,porta di sicurezza | esposizione esterna | terrazza |portinaio mezza giornata | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc,5,no,disponibile,150,1960,buone condizioni /vivibile,greco - segnano,2,centralizzato,f
0,1,159000,73,1,sì,2,esposizione esterna | terrazza | terrazza | impianto televisivo unico | cantina | infissi in vetro/ legno,4,no,NA,233,1960,da restaurare,baggio,1,centralizzato,g
0,1,365000,65,1,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza |portinaio mezza giornata | sistema televisivo centralizzato | giardino condiviso | infissi in vetro/ legno | doppia esposizione,4,no,disponibile,NA,1950,buone condizioni /vivibile,gambara,4,indipendente,NA
0,1,209000,54,1,sì,2,esposizione interna | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / metallo,6,no,disponibile,138,1960,buone condizioni /vivibile,niguarda,6,centralizzato,g
0,1,285000,106,1,no,4,porta di sicurezza | terrazza | impianto televisivo unico | cantina | infissi in vetro/ legno | doppia esposizione,4,"1 in garage/box, 1 in parcheggio condiviso",disponibile,208,1970,da restaurare,ortica,1,centralizzato,g
0,1,265000,85,1,no,2,fibra ottica | videocitofono | porta di sicurezza | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc | doppia esposizione,2,no,disponibile,100,1960,eccellente / restaurato,rogoredo,soppalco,centralizzato,d
0,1,1690000,168,2,sì,4,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | terrazza |portinaio tutto il giorno | impianto televisivo unico | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,8,no,disponibile,700,2023,nuovo / in costruzione,san vittore,5,centralizzato,NA
0,1,909000,115,2,sì,3,porta di sicurezza | terrazza,4,no,disponibile,nessun costo condominiale,NA,nuovo / in costruzione,buenos aires,3,centralizzato,g
0,1,590000,140,2,sì,4,cancello elettrico | videocitofono | sistema d'allarme | porta di sicurezza | esposizione interna | terrazza | terrazza | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / legno,14,no,disponibile,NA,2012,eccellente / restaurato,bignami - ponale,1,centralizzato,b
0,1,715000,80,1,sì,3,fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione esterna | guardaroba |portinaio tutto il giorno | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc,6,no,disponibile,220,1960,eccellente / restaurato,san vittore,soppalco,centralizzato,e
0,1,242000,90,1,sì,3,cancello elettrico | fibra ottica | porta di sicurezza | terrazza | sistema televisivo centralizzato | cantina | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,14,1 in garage/box,NA,250,1970,buone condizioni /vivibile,gallaratese,1,centralizzato,e
0,1,185000,38,1,no,2,fibra ottica | videocitofono | porta di sicurezza | esposizione interna | sistema televisivo centralizzato |arredato| cantina |infissi esterni in doppio vetro / pvc,3,no,disponibile,100,1960,buone condizioni /vivibile,certosa,soppalco,centralizzato,NA
0,1,385000,65,1,sì,2,"terrazza |arredato|infissi esterni in doppio vetro / pvcexposure east, west",8,no,disponibile,188,1960,eccellente / restaurato,tripoli - soderini,8,centralizzato,g
0,1,269000,80,1,sì,2,fibra ottica | porta di sicurezza | esposizione interna |portinaio tutto il giorno | impianto televisivo unico | cantina | giardino condiviso | window frames in triple glass / pvc,7,1 in garage/box,disponibile,nessun costo condominiale,2023,eccellente / restaurato,bologna - sulmona,7,centralizzato,g
0,1,300000,107,2,sì,4,cancello elettrico | fibra ottica | esposizione interna | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato |arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / metallo,7,1 in parcheggio condiviso,disponibile,260,1970,buone condizioni /vivibile,gallaratese,1,centralizzato,e
0,1,299000,80,1,no,3,fibra ottica | porta di sicurezza | terrazza | sistema televisivo centralizzato | parzialmente arredato|infissi esterni in doppio vetro / metallo | doppia esposizione,4,no,disponibile,250,1950,buone condizioni /vivibile,lodi - brenta,3,centralizzato,e
0,1,299800,47,1,sì,2,fibra ottica | videocitofono | porta di sicurezza | sistema televisivo centralizzato |arredato| giardino condiviso |infissi esterni in doppio vetro / legno | doppia esposizione,2,no,disponibile,NA,2016,eccellente / restaurato,lodi - brenta,1,indipendente,b
0,1,369000,58,1,no,2,fibra ottica | porta di sicurezza | sistema televisivo centralizzato |infissi esterni in doppio vetro / pvc,5,no,disponibile,208,2023,nuovo / in costruzione,porta romana - medaglie d'oro,piano terra,centralizzato,c
0,1,342000,85,1,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione interna | guardaroba | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina | giardino condiviso |infissi esterni in doppio vetro / pvc,8,no,disponibile,180,1960,eccellente / restaurato,tre castelli - faenza,1,centralizzato,g
0,1,365000,65,2,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | guardaroba | terrazza | sistema televisivo centralizzato | parzialmente arredato| infissi in vetro/ pvc,8,no,disponibile,270,1980,eccellente / restaurato,corvetto,2,centralizzato,c
0,1,375000,120,2,sì,3,cancello elettrico | fibra ottica | videocitofono | porta di sicurezza | esposizione esterna | guardaroba | sistema televisivo centralizzato | parzialmente arredato| cantina |infissi esterni in doppio vetro / legno,3,1 in garage/box,disponibile,280,1955,eccellente / restaurato,ghisolfa - mac mahon,piano terra,centralizzato,f
0,1,245000,70,1,no,2,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | guardaroba | terrazza | sistema televisivo centralizzato | giardino condiviso |infissi esterni in doppio vetro / pvc | doppia esposizione,1 piano,no,disponibile,NA,2024,nuovo / in costruzione,tre castelli - faenza,1,indipendente,NA
0,1,634000,96,1,sì,3,fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | terrazza | cantina | giardino condiviso |infissi esterni in doppio vetro / legno,7,1 in garage/box,NA,133,2010,eccellente / restaurato,lodi - brenta,1,indipendente,b
0,1,950000,150,2,sì,3,fibra ottica | porta di sicurezza | terrazza |portinaio tutto il giorno | sistema televisivo centralizzato | parzialmente arredato| cantina | infissi in vetro/ legno | doppia esposizione,8,1 in garage/box,disponibile,370,1970,eccellente / restaurato,gambara,7,centralizzato,f
0,1,246000,45,1,no,2,cancello elettrico | fibra ottica | porta di sicurezza | esposizione esterna |portinaio mezza giornata | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc,5,no,disponibile,125,1930,eccellente / restaurato,parco trotter,2,indipendente,d
0,1,335000,74,1,sì,2,porta di sicurezza | terrazza |portinaio mezza giornata | sistema televisivo centralizzato | cantina |infissi esterni in doppio vetro / pvc | doppia esposizione,6,no,disponibile,250,1960,buone condizioni /vivibile,udine,2,centralizzato,g
0,1,355000,86,1,no,3,videocitofono | porta di sicurezza | sistema televisivo centralizzato |arredato| cantina |infissi esterni in doppio vetro / pvc,2,no,disponibile,208,1960,eccellente / restaurato,precotto,1,centralizzato,NA
0,1,262000,40,1,sì,1,cancello elettrico | fibra ottica | videocitofono | sistema d'allarme | porta di sicurezza | esposizione interna | terrazza | sistema televisivo centralizzato | window frames in triple glass / legno,1 piano,2 in garage/box,disponibile,150,2023,nuovo / in costruzione,monte rosa - lotto,1,indipendente,a
